ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval,clip_key,normalized_caption,raw_aspects,aspects,audioset_ids,n_aspects,caption_words,selected_tags,selected_tag_ids,task1_split
-0Gj8-vB1q4,30,40,"/m/0140xf,/m/02cjck,/m/04rlf","['low quality', 'sustained strings melody', 'soft female vocal', 'mellow piano melody', 'sad', 'soulful', 'ballad']","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful, like something you would hear at Sunday services.",4,False,True,-0Gj8-vB1q4__30__40,"the low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. it sounds sad and soulful, like something you would hear at sunday services.","['low quality', 'sustained strings melody', 'soft female vocal', 'mellow piano melody', 'sad', 'soulful', 'ballad']","['low quality', 'sustained strings melody', 'soft female vocal', 'mellow piano melody', 'sad', 'soulful', 'ballad']","['/m/0140xf', '/m/02cjck', '/m/04rlf']",7,35,['low quality'],[0],train
-0vPFx-wRRI,30,40,"/m/025_jnm,/m/04rlf","['amateur recording', 'finger snipping', 'male mid range voice singing', 'reverb']","a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. The recording sounds like it has been recorded in an empty room. This song may be playing, practicing snipping and singing along.",6,False,True,-0vPFx-wRRI__30__40,"a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. the recording sounds like it has been recorded in an empty room. this song may be playing, practicing snipping and singing along.","['amateur recording', 'finger snipping', 'male mid range voice singing', 'reverb']","['amateur recording', 'finger snipping', 'male mid range voice singing', 'reverb']","['/m/025_jnm', '/m/04rlf']",4,37,['amateur recording'],[7],train
-0xzrMun0Rs,30,40,"/m/01g90h,/m/04rlf","['backing track', 'jazzy', 'digital drums', 'piano', 'e-bass', 'trumpet', 'acoustic guitar', 'digital keyboard song', 'medium tempo']",This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,6,False,True,-0xzrMun0Rs__30__40,this song contains digital drums playing a simple groove along with two guitars. one strumming chords along with the snare the other one playing a melody on top. an e-bass is playing the footnote while a piano is playing a major and minor chord progression. a trumpet is playing a loud melody alongside the guitar. all the instruments sound flat and are being played by a keyboard. there are little bongo hits in the background panned to the left side of the speakers. apart from the music you can hear eating sounds and a stomach rumbling. this song may be playing for an advertisement.,"['backing track', 'jazzy', 'digital drums', 'piano', 'e-bass', 'trumpet', 'acoustic guitar', 'digital keyboard song', 'medium tempo']","['backing track', 'jazzy', 'digital drums', 'piano', 'e-bass', 'trumpet', 'acoustic guitar', 'digital keyboard song', 'medium tempo']","['/m/01g90h', '/m/04rlf']",9,104,"['medium tempo', 'acoustic guitar', 'piano', 'e-bass']","[5, 16, 18, 26]",train
-1LrH01Ei1w,30,40,"/m/02p0sh1,/m/04rlf","['rubab instrument', 'repetitive melody on different octaves', 'no other instruments', 'plucked string instrument', 'no voice', 'instrumental', 'fast tempo']",This song features a rubber instrument being played. The strumming is fast. The melody is played on one fretted string and other open strings. The melody is played on the lower octave and is later repeated on the higher octave. This song can be played at a folk party.,0,False,False,-1LrH01Ei1w__30__40,this song features a rubber instrument being played. the strumming is fast. the melody is played on one fretted string and other open strings. the melody is played on the lower octave and is later repeated on the higher octave. this song can be played at a folk party.,"['rubab instrument', 'repetitive melody on different octaves', 'no other instruments', 'plucked string instrument', 'no voice', 'instrumental', 'fast tempo']","['rubab instrument', 'repetitive melody on different octaves', 'no other instruments', 'plucked string instrument', 'no voice', 'instrumental', 'fast tempo']","['/m/02p0sh1', '/m/04rlf']",7,49,"['instrumental', 'fast tempo', 'no other instruments']","[1, 11, 53]",train
-1OlgJWehn8,30,40,"/m/04rlf,/m/06bz3","['instrumental', 'white noise', 'female vocalisation', 'three unrelated tracks', 'electric guitar harmony', 'bass guitar', 'keyboard harmony', 'female lead vocalisation', 'keyboard harmony', 'slick drumming', 'boomy bass drops', 'male voice backup vocalisation']","This clip is three tracks playing consecutively. The first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. The three songs are unrelated and unsynced.",7,False,True,-1OlgJWehn8__30__40,"this clip is three tracks playing consecutively. the first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. the three songs are unrelated and unsynced.","['instrumental', 'white noise', 'female vocalisation', 'three unrelated tracks', 'electric guitar harmony', 'bass guitar', 'keyboard harmony', 'female lead vocalisation', 'keyboard harmony', 'slick drumming', 'boomy bass drops', 'male voice backup vocalisation']","['instrumental', 'white noise', 'female vocalisation', 'three unrelated tracks', 'electric guitar harmony', 'bass guitar', 'keyboard harmony', 'female lead vocalisation', 'slick drumming', 'boomy bass drops', 'male voice backup vocalisation']","['/m/04rlf', '/m/06bz3']",11,53,"['instrumental', 'bass guitar', 'keyboard harmony']","[1, 14, 45]",train
-1UWSisR2zo,30,40,"/m/04rlf,/m/0xzly","['live performance', 'poor audio quality', 'ambient noises', 'school dance program', 'crowd noise', 'high gain volume', 'hissing tones', 'medium tempo', 'techno dance song', 'male singer', 'groovy bass line', 'techno dance rhythm', 'keyboard accompaniment', 'kids dancing', 'noisy crowds', 'home video', 'school program', 'noise']","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.",1,False,True,-1UWSisR2zo__30__40,"a male singer sings this groovy melody. the song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. the song is so groovy and serves as a dance track for the dancing children. the audio quality is very poor with high gains and hissing noise.","['live performance', 'poor audio quality', 'ambient noises', 'school dance program', 'crowd noise', 'high gain volume', 'hissing tones', 'medium tempo', 'techno dance song', 'male singer', 'groovy bass line', 'techno dance rhythm', 'keyboard accompaniment', 'kids dancing', 'noisy crowds', 'home video', 'school program', 'noise']","['live performance', 'poor audio quality', 'ambient noises', 'school dance program', 'crowd noise', 'high gain volume', 'hissing tones', 'medium tempo', 'techno dance song', 'male singer', 'groovy bass line', 'techno dance rhythm', 'keyboard accompaniment', 'kids dancing', 'noisy crowds', 'home video', 'school program', 'noise']","['/m/04rlf', '/m/0xzly']",18,53,"['medium tempo', 'live performance', 'poor audio quality', 'male singer', 'groovy bass line']","[5, 9, 27, 31, 59]",train
-3Kv4fdm7Uk,30,40,"/m/04rlf,/m/04szw,/m/0l156b","['steeldrum', 'higher register', 'amateur recording']",someone is playing a high pitched melody on a steel drum. The file is of poor audio-quality.,6,False,True,-3Kv4fdm7Uk__30__40,someone is playing a high pitched melody on a steel drum. the file is of poor audio-quality.,"['steeldrum', 'higher register', 'amateur recording']","['steeldrum', 'higher register', 'amateur recording']","['/m/04rlf', '/m/04szw', '/m/0l156b']",3,17,['amateur recording'],[7],train
-4NLarMj4xU,30,40,"/m/04rlf,/t/dd00034","['pop', 'tinny wide hi hats', 'mellow piano melody', 'high pitched female vocal melody', 'sustained pulsating synth lead', 'soft female vocal', 'punchy kick', 'sustained synth bass', 'claps', 'emotional', 'sad', 'passionate']","The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.",4,False,False,-4NLarMj4xU__30__40,"the pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. it sounds emotional, sad, passionate and like something you would hear on a radio.","['pop', 'tinny wide hi hats', 'mellow piano melody', 'high pitched female vocal melody', 'sustained pulsating synth lead', 'soft female vocal', 'punchy kick', 'sustained synth bass', 'claps', 'emotional', 'sad', 'passionate']","['pop', 'tinny wide hi hats', 'mellow piano melody', 'high pitched female vocal melody', 'sustained pulsating synth lead', 'soft female vocal', 'punchy kick', 'sustained synth bass', 'claps', 'emotional', 'sad', 'passionate']","['/m/04rlf', '/t/dd00034']",12,47,"['emotional', 'passionate', 'punchy kick', 'pop']","[2, 6, 25, 33]",train
-4SYC2YgzL8,30,40,"/m/04rlf,/m/04wptg,/m/0ggq0m","['solo live direct input acoustic guitar strumming', 'airy suspended open chords', 'low fidelity', 'ambient sounds', 'paper shuffling']","low fidelity audio from a live performance featuring a solo direct input acoustic guitar strumming airy, suspended open chords. Also present are occasional ambient sounds, perhaps papers being shuffled.",8,False,True,-4SYC2YgzL8__30__40,"low fidelity audio from a live performance featuring a solo direct input acoustic guitar strumming airy, suspended open chords. also present are occasional ambient sounds, perhaps papers being shuffled.","['solo live direct input acoustic guitar strumming', 'airy suspended open chords', 'low fidelity', 'ambient sounds', 'paper shuffling']","['solo live direct input acoustic guitar strumming', 'airy suspended open chords', 'low fidelity', 'ambient sounds', 'paper shuffling']","['/m/04rlf', '/m/04wptg', '/m/0ggq0m']",5,29,[],[],train
-5FoeegAgvU,230,240,"/m/04rlf,/m/07rrh0c","['brass', 'double bass', 'strings', 'instrumental', 'no voice', 'percussion']",The instrumental music features an ensemble that resembles the orchestra. The melody is being played by a brass section while strings provide harmonic accompaniment. At the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,2,False,True,-5FoeegAgvU__230__240,the instrumental music features an ensemble that resembles the orchestra. the melody is being played by a brass section while strings provide harmonic accompaniment. at the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,"['brass', 'double bass', 'strings', 'instrumental', 'no voice', 'percussion']","['brass', 'double bass', 'strings', 'instrumental', 'no voice', 'percussion']","['/m/04rlf', '/m/07rrh0c']",6,46,"['instrumental', 'percussion']","[1, 29]",train
