aspect,training_count
low quality,642
instrumental,468
passionate,358
noisy,355
emotional,302
energetic,248
amateur recording,246
slow tempo,243
live performance,240
medium tempo,237
mono,230
acoustic drums,179
groovy,160
fast tempo,156
groovy bass,137
moderate tempo,137
bass guitar,132
electric guitar,132
no voices,132
shimmering hi hats,128
punchy kick,124
male voice,124
piano,120
percussion,116
no other instruments,115
punchy snare,115
exciting,110
acoustic guitar,109
bass,103
instrumental music,102
pop,100
male vocal,99
upbeat,95
flat male vocal,95
happy,91
uptempo,90
rock,87
cheerful,87
e-bass,85
romantic,83
